"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"1445882_at";-3,5199811845834;7,98453653906248;-16,5203334514928;2,96037177845051e-10;4,69231997711353e-08;14,0346597449626
"1419328_at";3,28922111829629;6,37930484739709;16,5057505552305;2,99384876354761e-10;4,69231997711353e-08;14,0235968932047
"1425888_at";-5,01887949724353;6,06318201712312;-16,5027944448895;3,00068423796229e-10;4,69231997711353e-08;14,0213530670698
"1449146_at";3,75748219215435;6,22411507713007;16,4289713768504;3,17692709147206e-10;4,79418863261892e-08;13,9651789988904
"1445659_at";-3,10210181140888;7,99850138681482;-16,4222277519887;3,19357089836059e-10;4,79418863261892e-08;13,9600342321224
"1424814_a_at";3,32489821651521;7,97892235038283;16,388564269989;3,27806433230555e-10;4,8337250008057e-08;13,9343185332698
"1417378_at";4,05645056345539;7,67855259918319;16,3697598581859;3,32630258517459e-10;4,8337250008057e-08;13,9199293670253
"1448265_x_at";4,67218222672052;3,67718632566816;16,3341181766916;3,41983292050752e-10;4,87391124708787e-08;13,8926081956849
"1440955_at";3,6173784928585;7,98606506529025;16,1804975406665;3,85645245123288e-10;5,33636242670342e-08;13,7741244878051
"1452654_at";3,17613172045837;5,03110865397188;16,1706180165761;3,88650607504823e-10;5,33636242670342e-08;13,7664640797272
"1460039_at";3,44621308966892;6,11499455580212;16,1153775997715;4,05923913524793e-10;5,50638234021162e-08;13,7235406058868
"1442865_at";3,39418736665825;4,530072804062;16,0692551564206;4,20976504019522e-10;5,64258864137595e-08;13,6875833246383
"1422041_at";-3,5108804052353;9,59120237952449;-16,0468349281308;4,28508659637529e-10;5,67597529277522e-08;13,6700652104972
"1424111_at";3,92440785654941;7,38035342842421;15,9967060634412;4,45877104851928e-10;5,83736084131146e-08;13,6308037417269
"1436178_at";3,30812177088287;6,8926438778393;15,9426059341716;4,65471300652106e-10;6,02384065981846e-08;13,5882869303754
"1422978_at";-3,87593094059308;11,0268757492366;-15,9011506981478;4,81109605220946e-10;6,15546936952571e-08;13,5556052627283
"1439768_x_at";3,43601149411835;5,84252577487438;15,8697438510785;4,93331861710296e-10;6,24092520336654e-08;13,5307859592583
"1427313_at";-3,57358423825813;7,67866628088252;-15,8457458315699;5,02895021810419e-10;6,29121672284834e-08;13,5117868729595
"1426183_a_at";-3,01407675842497;7,32184252124038;-15,8267179581104;5,10618747079941e-10;6,31764447623413e-08;13,4967012513671
"1419605_at";-5,68181435503728;9,00771212507565;-15,6681102046837;5,80170073035431e-10;7,02380091645797e-08;13,3702138770079
"1455019_x_at";-3,09296315818105;10,0902560528186;-15,499688856826;6,65278824679265e-10;7,96848328411047e-08;13,2344356656864
"1425243_at";3,97220140904547;6,10253958209002;15,412384010327;7,14578314324809e-10;8,46888130629792e-08;13,163449966521
"1437434_a_at";-3,22085917054867;6,79730016961967;-15,3622619309449;7,44638068336764e-10;8,55497960347309e-08;13,1225090540673
"1425225_at";-3,34090331226194;9,15464497687872;-15,3271664113978;7,66490777260957e-10;8,71709056684961e-08;13,0937602024047
"1455900_x_at";-4,03722309517821;11,1596415369705;-15,2457837351202;8,19853077743324e-10;9,04973117873734e-08;13,026833381273
"1449666_at";-3,21566437333634;7,14543105146721;-15,2209896887056;8,368909168059e-10;9,14811148768702e-08;13,0063705131504
"1450276_a_at";4,30846852820219;5,35637851030108;15,1981600427659;8,5291452953107e-10;9,23361989229838e-08;12,9874986322067
"1417500_a_at";-4,29491384684681;10,6257348834989;-15,1782271423597;8,67173814829601e-10;9,28187018012663e-08;12,9709975358965
"1448261_at";-4,21763026421543;8,39920037286534;-15,1690020642144;8,73859347271892e-10;9,28187018012663e-08;12,963353201996
"1456226_x_at";-6,52285529729608;7,62044280504607;-15,1502098880599;8,87649668132457e-10;9,3402314144891e-08;12,9477663815575
"1431611_a_at";3,68597358585035;9,11254146191631;15,1172802174713;9,12379818670435e-10;9,51155960963928e-08;12,9204057001347
"1430604_a_at";-3,35719435753876;10,9090672997788;-15,0900076267599;9,33420280033332e-10;9,62471479669088e-08;12,8976992002059
"1420498_a_at";-3,73333439564618;10,0636305471131;-15,0811934418711;9,40330959797492e-10;9,62471479669088e-08;12,8903517538467
"1458941_at";-3,04057043973554;7,04634336197751;-14,9865045753629;1,01812606759782e-09;1,03271003559314e-07;12,8111421217969
"1445647_at";-3,90429667125032;8,50735384775431;-14,9144706220415;1,08191752440635e-09;1,07799198294611e-07;12,7505416107413
"1426754_x_at";-3,21419912539474;8,26220678616686;-14,89794217538;1,09715028385884e-09;1,08358026719006e-07;12,7365946204194
"1459990_at";-3,47946720304866;7,79276544476624;-14,8080315110631;1,18413712344746e-09;1,14932757524956e-07;12,6604502099862
"1449153_at";-5,73462946652618;8,3553065516472;-14,6509275492201;1,35436310047994e-09;1,2733776810924e-07;12,5262699086145
"1450019_at";-3,41800940963244;8,74880894978044;-14,6485058330541;1,35718377947498e-09;1,2733776810924e-07;12,5241902001653
"1429954_at";-5,52849449831183;9,63677018615152;-14,5909989091118;1,42604691699331e-09;1,29870918234594e-07;12,4747026409875
"1422013_at";-3,91358749928754;8,48826435091532;-14,587527517223;1,43032186349495e-09;1,29870918234594e-07;12,4717090526411
"1437284_at";3,84703513069566;6,90763587494426;14,4165824892588;1,65879230696313e-09;1,4366417372383e-07;12,3234005680587
"1419922_s_at";-3,57022381691525;7,68357409820182;-14,3895906840209;1,69830599718835e-09;1,44566511953827e-07;12,2998219580624
"1436779_at";-3,62193502788229;9,61102960214343;-14,3826358879964;1,70864968976027e-09;1,44566511953827e-07;12,2937394475534
"1448025_at";-5,59185148623083;9,97543513376379;-14,374675826848;1,720571329764e-09;1,44566511953827e-07;12,2867741437415
"1437950_at";3,4625757062104;4,23390036234576;14,3348857398606;1,78151437031704e-09;1,47736228513735e-07;12,2518986692887
"1429347_at";3,41249275887553;6,98934986250763;14,3329489174934;1,78453921999005e-09;1,47736228513735e-07;12,2501986035108
"1452181_at";-3,03538036210258;8,02161136393699;-14,3088882129721;1,82257813608608e-09;1,49783994410169e-07;12,2290599321398
"1424445_at";3,45247452624617;8,40227872422994;14,2653725956697;1,89359693341737e-09;1,54492810676421e-07;12,1907388293939
"1449309_at";3,09412912590447;5,75304364252124;14,1811752979348;2,03956176676056e-09;1,65204503107606e-07;12,1162606073978
"1435903_at";-3,56737713230814;10,0993434654726;-14,0982824344;2,1950903066501e-09;1,72043394815258e-07;12,0425057876177
"1445292_at";-3,60082816880125;6,59304616261667;-14,0967801959666;2,19802341133869e-09;1,72043394815258e-07;12,0411651904938
"1430379_at";-3,79577793330924;9,04511833933802;-14,0698502884961;2,25132172368996e-09;1,73244716479128e-07;12,0171089110646
"1451708_at";4,79926028964461;5,62006639211437;14,0571756258535;2,27688405892274e-09;1,73244716479128e-07;12,0057709494657
"1429896_at";3,43722181887448;4,07373181301317;13,9162446540442;2,58301021747498e-09;1,89322265610509e-07;11,8790177830745
"1452521_a_at";-3,71785307389459;10,0095976852296;-13,9140747665935;2,58805472395961e-09;1,89322265610509e-07;11,8770563054914
"1429556_at";3,09366878157219;4,32543284912117;13,9134368143635;2,58953982627395e-09;1,89322265610509e-07;11,8764795689613
"1437306_at";3,24566035233864;4,30142657508785;13,8943702444375;2,63434898710322e-09;1,91355711263195e-07;11,8592305313055
"1428509_at";-3,83650569756092;8,55826068910398;-13,8385207860991;2,77044591441414e-09;1,99951606092236e-07;11,8085706101993
"1446745_at";-3,0301468734212;7,37401711683253;-13,8062134077724;2,8525943142162e-09;2,04569168049428e-07;11,7791734264128
"1445966_at";3,4009242513118;6,01102349051775;13,7797735163077;2,92176326305297e-09;2,08054964035099e-07;11,7550649153209
"1435064_a_at";3,07658900137945;2,75899631629375;13,7736041957919;2,93815963065821e-09;2,08054964035099e-07;11,7494330568884
"1450513_at";-3,34815548685342;7,93548154064343;-13,6725164285171;3,22132761806078e-09;2,21229175558964e-07;11,6567983616779
"1425216_at";-3,67317168687457;6,7776534513849;-13,6721343266089;3,22245179782131e-09;2,21229175558964e-07;11,6564469422887
"1422782_s_at";3,06354474228847;9,71158172390971;13,6248840117393;3,36475607321559e-09;2,24272152682087e-07;11,6129167117025
"1450355_a_at";-3,84332213967269;10,5940752579023;-13,5722279800252;3,53130356367414e-09;2,32508460955597e-07;11,5642325595173
"1437932_a_at";3,26196245894734;6,55986148136573;13,5260628234395;3,68458681028238e-09;2,38932108373316e-07;11,5213981317658
"1456893_at";-3,77511979260843;6,84394071472573;-13,5185207293031;3,71029846493267e-09;2,38932108373316e-07;11,5143866773827
"1459215_at";3,51823167896442;7,19384258599412;13,4946660123603;3,79289310319191e-09;2,40533641747147e-07;11,4921852606279
"1452656_at";4,12376068424317;4,22746836061312;13,4513688291306;3,94787414986107e-09;2,44225906886186e-07;11,4517913705767
"1421685_at";-3,75116124201092;8,52641903068103;-13,2735323028844;4,659258984463e-09;2,7465233982235e-07;11,2845487551569
"1423166_at";3,10845400562146;8,64074473986692;13,1887043247577;5,04585144818173e-09;2,8985327272999e-07;11,2040113435183
"1456139_at";3,27790351864368;6,63063568409632;13,138352508939;5,29144297480832e-09;3,00890689158419e-07;11,1559705650679
"1442846_at";3,70288722563518;6,82340544999074;13,1263451003808;5,35187780093603e-09;3,02797950556476e-07;11,1444881937277
"1450227_at";4,16369337950994;4,46112876139669;13,0869249226649;5,55553174883596e-09;3,11192696319125e-07;11,106720835451
"1441045_at";3,12237813571578;5,68241823322767;12,9960437068261;6,0573188841982e-09;3,32589913319157e-07;11,0192339074964
"1425802_a_at";3,04143568428248;6,77022882696346;12,9762334551468;6,17300661707114e-09;3,3573402876128e-07;11,0000860343309
"1434399_at";-3,51109616598659;8,43363085146706;-12,9712655574069;6,20238724419098e-09;3,3573402876128e-07;10,995279874062
"1419908_at";4,44370340062937;5,81686674652775;12,6520294475517;8,44344748820394e-09;4,3408573182506e-07;10,682714519196
"1417876_at";-3,60633394282288;10,0171452777468;-12,6316735822374;8,61310701722464e-09;4,40795326849692e-07;10,6625321098884
"1419610_at";-3,20016484948762;6,79513106249922;-12,5695983275544;9,1533796219827e-09;4,62579284775539e-07;10,6007964801423
"1447541_s_at";4,23712136745129;8,47521528332739;12,5686377165505;9,16201976240742e-09;4,62579284775539e-07;10,5998388771716
"1449090_a_at";3,18884529940575;4,38324140882493;12,4972051638926;9,82960666397444e-09;4,85401497498633e-07;10,5284370676384
"1422619_at";3,49186371362143;7,31282853180482;12,4734888130536;1,00626031752449e-08;4,93288008770713e-07;10,5046464199174
"1428647_at";3,04855571480887;7,70954504600092;12,4395600368882;1,04062527666851e-08;5,0501724094874e-07;10,4705377496245
"1455215_at";3,02486072519492;6,55363026358185;12,4089940130805;1,07265980885524e-08;5,16114392645348e-07;10,4397352211419
"1422620_s_at";3,53394112926973;6,97160959270441;12,3952633245813;1,08739190066573e-08;5,18768873287944e-07;10,4258752551167
"1417376_a_at";3,90331453660178;7,93997483400076;12,3327607060447;1,15724030047659e-08;5,49762385783372e-07;10,362602952981
"1416986_a_at";-4,45282183715945;10,7803345095297;-12,305559553215;1,18912268336716e-08;5,60181267448991e-07;10,3349736671141
"1439956_at";-3,45359939272872;6,95811403716932;-12,2925686931874;1,20467937972752e-08;5,65145214014672e-07;10,3217583221437
"1449925_at";3,15725068171987;6,68601534541377;12,0701203215195;1,5077298639377e-08;6,8449719911591e-07;10,0934378442659
"1438666_at";-3,21246807163411;6,69778961091036;-12,0278413121385;1,57404446606841e-08;7,06062416074271e-07;10,0496046595927
"1451335_at";-3,64165077491846;10,8385086789117;-11,9842333524875;1,64572088118982e-08;7,29141045788337e-07;10,0042453058405
"1418499_a_at";-3,15570622636912;6,3685129458494;-11,9840874157573;1,64596652633495e-08;7,29141045788337e-07;10,0040932541711
"1448393_at";3,16363230440355;4,3506476127647;11,9808661880452;1,65139858491896e-08;7,29141045788337e-07;10,0007366209301
"1438933_x_at";-3,23765507117997;6,02936040262611;-11,9234624560713;1,7514825432962e-08;7,67312916535873e-07;9,94078100013119
"1416236_a_at";4,41184493076848;4,70126671139662;11,9124841766913;1,77135128845239e-08;7,73009463437423e-07;9,92928463323183
"1422748_at";-4,28168807493342;9,93599764829274;-11,8845390204333;1,82302205979332e-08;7,88957419383132e-07;9,89997698879018
"1455241_at";3,46393334210375;7,76790266267847;11,8812858703131;1,829141016544e-08;7,88957419383132e-07;9,89656114461085
"1449160_at";3,27876922218577;6,24368267414096;11,8776924981503;1,83592542746586e-08;7,88957419383132e-07;9,89278707211182
"1424112_at";3,64382701979448;7,09550514341048;11,7943561023873;2,00105362367429e-08;8,43815084230294e-07;9,80496698293899
"1423593_a_at";-3,16201631139747;9,73008826726528;-11,711936183061;2,18006485726157e-08;9,05732480734611e-07;9,7175565691838
"1434366_x_at";-3,07393586443526;11,3110921866459;-11,6730188913044;2,270470117893e-08;9,36381796972793e-07;9,67608908878621
"1450014_at";3,15005996897169;8,33154067244012;11,5185401176322;2,67084539456172e-08;1,07133679239732e-06;9,51024836336761
"1436223_at";3,5986474018261;4,77170967969775;11,4949782044099;2,73826734662639e-08;1,09326780339243e-06;9,48477797635898
"1419407_at";3,29095375964673;6,27253603000438;11,4859698587313;2,76452296659586e-08;1,09985032087996e-06;9,4750276060483
"1419144_at";-3,31684728666381;6,68428870213462;-11,4261100545255;2,94596641893652e-08;1,14770366473378e-06;9,41006274535592
"1452352_at";3,02622742365575;7,09309113413604;11,4010795171188;3,02557210176054e-08;1,17061568019663e-06;9,38280731267597
"1425145_at";-3,32385891437349;6,94605412991952;-11,2908142933797;3,4046329665367e-08;1,28633431443747e-06;9,2621027283943
"1448154_at";3,64301122418655;6,90777292156487;11,259936162764;3,51965159908667e-08;1,30784677736359e-06;9,2281135460981
"1438566_at";-3,31407988489999;6,45856662220959;-11,2279766933161;3,64308002172128e-08;1,34483403162491e-06;9,19284701058942
"1450203_at";3,54613048525899;4,96589619275626;11,1978685084646;3,76359374492947e-08;1,3802704226111e-06;9,15954200888891
"1437726_x_at";-3,17681146700774;11,9462372783526;-11,0906974472191;4,22831883445282e-08;1,5065392961109e-06;9,04034728959182
"1424832_at";-4,78625611749443;9,60953665874298;-11,0228826491489;4,55376757009412e-08;1,6072372749746e-06;8,96440020565993
"1457776_at";3,42106049959528;6,3782838321974;10,9639488098647;4,85834487387017e-08;1,69350170077103e-06;8,8980661299273
"1419769_at";-3,24778507056382;5,62483238032364;-10,8721270506355;5,37703627467015e-08;1,83637306649294e-06;8,79409208373436
"1449401_at";-3,01123102929636;10,3147722263267;-10,8712296073311;5,38238841764517e-08;1,83637306649294e-06;8,79307210333311
"1458869_at";-4,09063326746037;9,41395427356068;-10,8289997886224;5,64077964284085e-08;1,88892170499603e-06;8,74499339894317
"1456440_s_at";-3,37427507080912;6,32763398525817;-10,8236780461502;5,67426946349506e-08;1,89013609140505e-06;8,73892305881693
"1439833_at";3,21848901393025;8,20623502094247;10,7639597857676;6,06497482077807e-08;1,99665355284036e-06;8,67062665143285
"1444088_at";-3,19266287202304;6,59920091321766;-10,6655070270444;6,77313658645871e-08;2,15420183126945e-06;8,5573146468902
